run_id,backbone,seed,tags,shortlist,params_total,params_encoder,best_dev_cer,best_dev_epoch,test_cer,test_wer,chunked_2s_reset_cer,chunked_5s_reset_cer,chunked_10s_reset_cer,chunked_2s_carry_cer,chunked_5s_carry_cer,chunked_10s_carry_cer,avg_epoch_sec,total_train_sec,n_epochs,peak_mem_gb,git_sha,gpu_name,torch_version
d0_rwkv6_benchmark_seed42,rwkv6,42.0,,False,7736605,5825024,0.3977970267694064,2,0.3922444665794522,0.8698845304805569,0.4793957072295085,0.430601225909141,0.41684713823056074,0.4493171228689648,0.4225822905250144,0.41536340698668006,83.00092828273773,166.00185656547546,2,4.639488,08691816629a9be4a96e57f1d5a2f1ddc8c915df,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,2.11.0+cu130
d0_rwkv6_ep10_seed42,rwkv6,42.0,,False,7736605,5825024,0.20104160550993558,9,0.20170496871683755,0.5565248768891153,0.3263427606649014,0.24359740868289442,0.22215704339705558,0.2806410265619622,0.23237404785517835,0.22036289562536657,81.72513706684113,817.2513706684113,10,4.637379072,08691816629a9be4a96e57f1d5a2f1ddc8c915df,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,2.11.0+cu130
disc02_rwkv6_trap_seed42,rwkv6_trap,42.0,,False,7736605,5825024,0.12627951029654225,28,0.12544997251828086,0.37463915775174056,0.26590924470465,0.1716850877854887,0.1473581902317565,0.20613381576617198,0.15685572174328377,0.14490813746266387,111.54221541881562,3346.2664625644684,30,6.466743808,b014d965a4595945f7fe002f57640dd777342d15,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,2.11.0+cu130
disc03_rwkv6_trap_var_seed42,rwkv6_trap_var,42.0,,False,7736605,5825024,0.12611111308756376,30,0.125862211475372,0.37493632195618953,0.26544488324005033,0.17187537846967646,0.14671623419503738,0.2015746857657154,0.15521921778439865,0.1436702502531455,117.47248384157817,3524.174515247345,30,6.471780864,ad7827f86968911b28c576433a5855a42aa95e26,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,2.11.0+cu130
disc04_rwkv6_gen2_seed42,rwkv6_gen2,42.0,,False,7736653,5825072,0.1263762691535425,30,0.1254034012221943,0.37330191883172015,0.26536403672817993,0.17040726706082449,0.14598852272029592,0.1967629137334506,0.15361731616112043,0.14304842666197237,119.47685919602712,3584.3057758808136,30,6.5328384,b014d965a4595945f7fe002f57640dd777342d15,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,2.11.0+cu130
disc05_rwkv6_ab3_seed42,rwkv6_ab3,42.0,,False,7736605,5825024,0.1299013072191312,30,0.12853436548873173,0.37886313465783666,0.26646892492581453,0.17566548547098157,0.15194885441188669,0.20923000104477527,0.16164109761641723,0.1495381533476751,151.3550572872162,4540.651718616486,30,8.419444736,b014d965a4595945f7fe002f57640dd777342d15,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,2.11.0+cu130
disc06_rwkv6_convshift_trap_seed42,rwkv6_convshift_trap,42.0,,False,7741213,5829632,0.11500664731250074,28,0.11496198300405748,0.34403124469349633,0.22619961848068415,0.1552170132751159,0.1355372334065183,0.1625881565701316,0.1370673471564544,0.13217320503279448,117.22945427099863,3516.883628129959,30,6.51625216,ab11cab45079c4ef5a08698b1b998740db48b199,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,2.11.0+cu130
exp01_transformer_causal_seed42,transformer_causal,42.0,"groupA,baseline",True,6256669,4345088,0.13102256644034488,75,0.1291721778167607,0.3999830191883172,0.2700279089515916,0.1780761431339058,0.15339264591733004,0.14913094327467663,0.1482648653255937,0.14787112463121788,50.68576384484768,4054.8611075878143,80,2.680059392,08691816629a9be4a96e57f1d5a2f1ddc8c915df,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,2.11.0+cu130
exp08_transformer_seed42,transformer,42.0,"groupB,baseline",True,6256669,4345088,0.11121275967329813,80,0.11154485996429375,0.3455170657157412,0.17943566712725564,0.14132475303717926,0.12807002176912635,,,,60.872805434465405,4869.824434757233,80,2.461513216,08691816629a9be4a96e57f1d5a2f1ddc8c915df,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,2.11.0+cu130
exp09_lion_seed42,lion,42.0,"groupB,baseline",True,7736605,5825024,0.07108215895088789,78,0.07084286030965077,0.2109441331295636,0.1417871803232601,0.09618567903640325,0.08554549667773725,,,,73.21225494291724,6003.404905319214,82,3.593526784,08691816629a9be4a96e57f1d5a2f1ddc8c915df,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,2.11.0+cu130
