epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.572417967624263,0.3202169235323485,1.833045965335408,0.5064506709729397,0.9521023403411345,441.8784728050232,0.00029996843639440034,1.0194103178782177,93140.61375898497,38.270359552,1236
2,1.7854913928362157,0.20212016351313558,1.287250925282963,0.35028600396116955,0.8014478381594605,436.2996828556061,0.0002987736939316783,1.0977599888461307,94131.46254160283,38.270352896,2472
3,1.4820341544051001,0.18505379959101145,1.0620063181783332,0.2899362232433866,0.7207259024196747,438.1339211463928,0.00029586322318782325,1.173851290952812,93888.72322683816,38.27031552,3708
4,1.3384175958371085,0.1997140498407104,0.9503383988239726,0.2587349454323117,0.6584688615628719,437.5110926628113,0.0002912707022673878,1.2276848028007064,94043.20098627683,38.270293504,4944
5,1.2285493474369296,0.18635922278481679,0.8523305224590614,0.22713651494951262,0.6071995239984134,437.4207706451416,0.0002850492728829438,1.2190034060127142,93970.69328261571,38.270311424,6180
6,1.1495533959283026,0.1957262143956653,0.8010494093425938,0.21685706095106214,0.5816937723125744,443.769828081131,0.00027727092543319853,1.2242261599568487,93495.52403233352,38.27031808,7416
7,1.1053792504913214,0.20170567340342696,0.7536837829918158,0.20268825184610337,0.5547401824672749,447.06809520721436,0.00026802566597618,1.252049794137285,92897.49034337893,38.270286336,8652
8,1.0489318279193829,0.20436707289264655,0.7016625726809267,0.189170139309388,0.5224514081713606,445.28756642341614,0.0002574204747367426,1.2380977622610079,93167.68908499772,38.270323712,9888
9,1.0173702060115375,0.20733722557006465,0.6826975032931468,0.18053394084286312,0.5083300277667592,446.000150680542,0.00024557806819988014,1.255942469517004,92921.62774424859,38.27032576,11124
10,0.9733074876965057,0.2038703482879184,0.6556731892413781,0.1702049528303053,0.48536295120983736,444.85576462745667,0.00023263547911410768,1.2440561268321904,93179.25071217922,38.27032064,12360
11,0.9432659221505656,0.20323775446075804,0.6288432850212348,0.16626853491202595,0.4731257437524792,441.9124183654785,0.00021874247083620657,1.2700988660448964,93153.26203637355,38.270296064,13596
12,0.9253471730499977,0.19842216066723145,0.614336938154502,0.15983427086563823,0.45973819912733044,444.98399233818054,0.00020405980436551748,1.2814781501358767,93326.69862049338,38.270315008,14832
13,0.893320287821941,0.18899025815053178,0.600266443412812,0.15442039378110764,0.44232447441491474,443.3384966850281,0.00018875737812055438,1.2817681282758713,93899.74817726677,38.270290432,16068
14,0.880667673490194,0.20331389894870064,0.5797785544981722,0.1489462602008763,0.43264577548591826,446.7446460723877,0.00017301226198325145,1.2970667759673882,93717.3071576193,38.270298624,17304
15,0.858789317695647,0.19481376870017575,0.5627307681763758,0.1461837427068839,0.4230464101547005,443.5648891925812,0.00015700664835962614,1.2946737197899896,93759.9405790088,38.270296576,18540
16,0.8427806497825774,0.20682901014668423,0.5644642314949974,0.14002872091822338,0.41368504561681874,444.88691544532776,0.00014092574396587173,1.3382927707869643,93457.48940807815,38.270303744,19776
17,0.8229461101073663,0.20746044715909998,0.5367142660695998,0.14209872470658905,0.410353034510115,443.28902530670166,0.00012495562673478242,1.33475467418004,93657.76968419783,38.270321664,21012
18,0.8046102894886026,0.20971632421420913,0.5436625563707508,0.1361857594162537,0.39980166600555334,441.79724073410034,0.00010928109264101724,1.3540303983927544,93813.84596607415,38.270296064,22248
19,0.7955048842337525,0.1964971248969284,0.5386868001984768,0.13240098660216176,0.38974613248710827,446.2260446548462,9.408351736036278e-05,1.3477095576744635,93278.0298739897,38.270297088,23484
20,0.7877911013885609,0.20948676134839517,0.5208981975180204,0.13242548332957035,0.38689012296707653,443.4286599159241,7.95387575065061e-05,1.3779764494174507,93599.61361695717,38.270311424,24720
21,0.7700708881020546,0.1937093708163369,0.5141840073906008,0.1297005626485293,0.38159460531535105,446.3205337524414,6.581511573086043e-05,1.3953011147798458,93188.68577915896,38.26907904,25956
22,0.7623339560136054,0.2022489748222968,0.5081821426016385,0.12878135000015556,0.37915509718365725,442.00389313697815,5.3071393232008324e-05,1.4101576878897195,93989.76525987049,38.270290432,27192
23,0.743809056200063,0.19011924125802415,0.49744742571330464,0.12654746818449553,0.37381991273304244,442.224232673645,4.1455052209875e-05,1.4276449705886995,93976.81677241824,38.27032576,28428
24,0.7347772869139814,0.19284048861602765,0.5077876302062488,0.12470288197234572,0.3696350654502182,443.33345794677734,3.110050952753626e-05,1.414440689011685,93757.8117890584,38.270317568,29664
25,0.7282996876195411,0.19524932400550146,0.49547071388510405,0.12428322952810003,0.36777072590241966,441.4882273674011,2.2127581325314766e-05,1.443317404698014,94016.77186654885,38.269447168,30900
26,0.7296103472221631,0.19674854009023407,0.4983249453247571,0.1231876612256461,0.36517255057516856,442.4466905593872,1.4640096585094796e-05,1.4488251741650036,93841.39433397133,38.270298624,32136
27,0.7233646001100155,0.19507718401271212,0.4956315115827029,0.12262816877993202,0.36299087663625546,442.9218988418579,8.724695687800881e-06,1.4574522384740773,93722.15562375178,38.270293504,33372
28,0.722586734925659,0.19955885522518232,0.49327139825117394,0.12218897887741587,0.36340737802459344,442.7639081478119,4.449827866365841e-06,1.4660467528120213,93634.46807327365,38.270314496,34608
29,0.7170400339567545,0.19586880434648485,0.494194391809526,0.12203059150468387,0.36180087266957556,444.17748975753784,1.8649591550190586e-06,1.4378118099807535,93470.0283774205,38.270315008,35844
30,0.7176830028108409,0.20479399593793682,0.4943202460398439,0.12196453061210331,0.36191987306624357,502.73385286331177,1e-06,1.4602896396106886,85449.66214456102,38.27029504,37080
