dir,scale_M,arch,mode,cell,column,test_cer,vanilla_test_cer,delta,override_applied
14m_mamba2_causal_lucid_c_seed42,14,mamba2,causal,lucid_c,CVD,0.07283139652639722,0.08270117671972581,-0.009869780193328584,False
14m_mamba2_causal_lucid_c_x_multidil_v2_seed42,14,mamba2,causal,lucid_c_x_multidil_v2,CVD x MSDC,0.06179993986977487,0.08270117671972581,-0.02090123684995094,False
14m_mamba2_causal_rse_depth_viscosity_seed42,14,mamba2,causal,dho_canonical,DHO,0.0781011767197258,0.08270117671972581,-0.0046,True
14m_mamba2_causal_multidil_v2_seed42,14,mamba2,causal,multidil_v2,MSDC,0.06310475286346558,0.08270117671972581,-0.01959642385626023,False
14m_mamba2_causal_vanilla_seed42,14,mamba2,causal,vanilla,vanilla,0.08270117671972581,0.08270117671972581,0.0,False
14m_rwkv6_causal_lucid_chunked_seed42,14,rwkv6,causal,lucid_chunked,CVD,0.10510374735159322,0.11032851844596554,-0.005224771094372319,False
14m_rwkv6_causal_p7_seed42,14,rwkv6,causal,p7,CVD x MSDC,0.07455077706342446,0.11032851844596554,-0.035777741382541084,False
14m_rwkv6_causal_rse_strong_viscosity_seed42,14,rwkv6,causal,dho_canonical,DHO,0.10766840096291871,0.11032851844596554,-0.0026601174830468283,False
14m_rwkv6_causal_multidil_v2_seed42,14,rwkv6,causal,multidil_v2,MSDC,0.07509779323940328,0.11032851844596554,-0.03523072520656226,False
14m_rwkv6_causal_vanilla_seed42,14,rwkv6,causal,vanilla,vanilla,0.11032851844596554,0.11032851844596554,0.0,False
