panel_row,panel_col,panel_title,cell,layer,head,mean_abs_eta
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,2,5,0.1636376976966858
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,2,6,0.09916681051254272
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,2,7,0.10910769551992416
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,3,0,0.09982433915138245
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,3,1,0.09955503046512604
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,3,2,0.15176042914390564
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,3,3,0.11645250767469406
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,3,4,0.08010973781347275
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,3,5,0.07557208836078644
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,3,6,0.18233302235603333
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,3,7,0.12784506380558014
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,4,0,0.15758125483989716
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,4,1,0.2100675404071808
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,4,2,0.15763938426971436
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,4,3,0.11991358548402786
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,4,4,0.06758148223161697
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,4,5,0.233083575963974
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,4,6,0.17454345524311066
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,4,7,0.10859294980764389
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,5,0,0.16616570949554443
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,5,1,0.28173205256462097
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,5,2,0.219610333442688
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,5,3,0.25176435708999634
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,5,4,0.24548450112342834
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,5,5,0.1746271252632141
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,5,6,0.14164435863494873
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_rse_strong_viscosity_seed42,5,7,0.21487151086330414
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,0,0,0.1593226194381714
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,0,1,0.1586892306804657
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,0,2,0.10907234996557236
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,0,3,0.11849786341190338
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,1,0,0.18156003952026367
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,1,1,0.174802765250206
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,1,2,0.20632413029670715
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,1,3,0.19381290674209595
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,2,0,0.14039629697799683
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,2,1,0.2346339225769043
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,2,2,0.23864340782165527
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,2,3,0.2889789640903473
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,3,0,0.24718421697616577
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,3,1,0.2931288778781891
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,3,2,0.10660240054130554
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,3,3,0.22381484508514404
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,4,0,0.2764764428138733
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,4,1,0.2983056902885437
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,4,2,0.17838996648788452
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,4,3,0.270313560962677
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,5,0,0.3806629180908203
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,5,1,0.3597889244556427
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,5,2,0.34308522939682007
0,2,"LA (causal, 7M)",7m_linear_attn_causal_rse_strong_viscosity_seed42,5,3,0.3712823987007141
1,0,"RWKV-6 (causal, 14M)",14m_rwkv6_causal_rse_strong_viscosity_seed42,0,0,0.07346000522375107
1,0,"RWKV-6 (causal, 14M)",14m_rwkv6_causal_rse_strong_viscosity_seed42,0,1,0.05830051004886627
1,0,"RWKV-6 (causal, 14M)",14m_rwkv6_causal_rse_strong_viscosity_seed42,0,2,0.04622681438922882
1,0,"RWKV-6 (causal, 14M)",14m_rwkv6_causal_rse_strong_viscosity_seed42,0,3,0.0474262610077858
1,0,"RWKV-6 (causal, 14M)",14m_rwkv6_causal_rse_strong_viscosity_seed42,1,0,0.07425474375486374
